Magnetizacion = 0.036241    +- 0.002368
Energia Media = -0.365795    +- 0.108444
Calor especifico = 1.809234

Funcion de correlacion:
f(0) = 1.000000
f(1) = 0.365346
f(2) = 0.153040
f(3) = 0.069546
f(4) = 0.033185
f(5) = 0.017568
f(6) = 0.009236
f(7) = 0.004106
f(8) = 0.001740
f(9) = 0.000597
f(10) = 0.001121
f(11) = 0.000708
f(12) = 0.001054
f(13) = 0.001063
f(14) = 0.001151
f(15) = 0.000661
f(16) = 0.000684
f(17) = 0.000317
f(18) = -0.000092
f(19) = -0.000234
f(20) = 0.000625
f(21) = 0.001057
f(22) = 0.001080
f(23) = 0.000739
f(24) = 0.000436
f(25) = 0.000509
f(26) = 0.000689
f(27) = 0.000282
f(28) = 0.000659
f(29) = 0.000186
f(30) = 0.001159
f(31) = 0.001552
f(32) = 0.001701
f(33) = 0.001552
f(34) = 0.001159
f(35) = 0.000186
f(36) = 0.000659
f(37) = 0.000282
f(38) = 0.000689
f(39) = 0.000509
f(40) = 0.000436
f(41) = 0.000739
f(42) = 0.001080
f(43) = 0.001057
f(44) = 0.000625
f(45) = -0.000234
f(46) = -0.000092
f(47) = 0.000317
f(48) = 0.000684
f(49) = 0.000661
f(50) = 0.001151
f(51) = 0.001063
f(52) = 0.001054
f(53) = 0.000708
f(54) = 0.001121
f(55) = 0.000597
f(56) = 0.001740
f(57) = 0.004106
f(58) = 0.009236
f(59) = 0.017568
f(60) = 0.033185
f(61) = 0.069546
f(62) = 0.153040
f(63) = 0.365346
