Magnetizacion = 0.678547    +- 0.014445
Energia Media = -0.733735    +- 0.820143
Calor especifico = 14.947423

Funcion de correlacion:
f(0) = 1.000000
f(1) = 0.733450
f(2) = 0.638442
f(3) = 0.592830
f(4) = 0.565149
f(5) = 0.546880
f(6) = 0.533235
f(7) = 0.522915
f(8) = 0.514731
f(9) = 0.508093
f(10) = 0.502705
f(11) = 0.497651
f(12) = 0.493909
f(13) = 0.490701
f(14) = 0.487568
f(15) = 0.484763
f(16) = 0.482856
f(17) = 0.481069
f(18) = 0.479160
f(19) = 0.476821
f(20) = 0.474956
f(21) = 0.473462
f(22) = 0.472126
f(23) = 0.470339
f(24) = 0.469260
f(25) = 0.468284
f(26) = 0.467632
f(27) = 0.466194
f(28) = 0.465398
f(29) = 0.464602
f(30) = 0.464304
f(31) = 0.464116
f(32) = 0.463804
f(33) = 0.463257
f(34) = 0.462686
f(35) = 0.462332
f(36) = 0.461538
f(37) = 0.461177
f(38) = 0.460718
f(39) = 0.460530
f(40) = 0.459683
f(41) = 0.459985
f(42) = 0.459956
f(43) = 0.460229
f(44) = 0.460056
f(45) = 0.459688
f(46) = 0.459963
f(47) = 0.459963
f(48) = 0.460063
f(49) = 0.459690
f(50) = 0.459795
f(51) = 0.459678
f(52) = 0.459722
f(53) = 0.459465
f(54) = 0.459446
f(55) = 0.459658
f(56) = 0.459331
f(57) = 0.458713
f(58) = 0.459250
f(59) = 0.459065
f(60) = 0.458599
f(61) = 0.458455
f(62) = 0.457512
f(63) = 0.457522
f(64) = 0.457378
f(65) = 0.457522
f(66) = 0.457512
f(67) = 0.458455
f(68) = 0.458599
f(69) = 0.459065
f(70) = 0.459250
f(71) = 0.458713
f(72) = 0.459331
f(73) = 0.459658
f(74) = 0.459446
f(75) = 0.459465
f(76) = 0.459722
f(77) = 0.459678
f(78) = 0.459795
f(79) = 0.459690
f(80) = 0.460063
f(81) = 0.459963
f(82) = 0.459963
f(83) = 0.459688
f(84) = 0.460056
f(85) = 0.460229
f(86) = 0.459956
f(87) = 0.459985
f(88) = 0.459683
f(89) = 0.460530
f(90) = 0.460718
f(91) = 0.461177
f(92) = 0.461538
f(93) = 0.462332
f(94) = 0.462686
f(95) = 0.463257
f(96) = 0.463804
f(97) = 0.464116
f(98) = 0.464304
f(99) = 0.464602
f(100) = 0.465398
f(101) = 0.466194
f(102) = 0.467632
f(103) = 0.468284
f(104) = 0.469260
f(105) = 0.470339
f(106) = 0.472126
f(107) = 0.473462
f(108) = 0.474956
f(109) = 0.476821
f(110) = 0.479160
f(111) = 0.481069
f(112) = 0.482856
f(113) = 0.484763
f(114) = 0.487568
f(115) = 0.490701
f(116) = 0.493909
f(117) = 0.497651
f(118) = 0.502705
f(119) = 0.508093
f(120) = 0.514731
f(121) = 0.522915
f(122) = 0.533235
f(123) = 0.546880
f(124) = 0.565149
f(125) = 0.592830
f(126) = 0.638442
f(127) = 0.733450
