Magnetizacion = 0.070701    +- 0.001062
Energia Media = -0.365087    +- 0.025831
Calor especifico = 1.026558

Funcion de correlacion:
f(0) = 1.000000
f(1) = 0.364981
f(2) = 0.152237
f(3) = 0.068311
f(4) = 0.032788
f(5) = 0.015987
f(6) = 0.007997
f(7) = 0.003680
f(8) = 0.002316
f(9) = 0.001238
f(10) = 0.000375
f(11) = -0.000194
f(12) = 0.000011
f(13) = 0.000079
f(14) = -0.000129
f(15) = 0.000009
f(16) = 0.000543
f(17) = 0.000009
f(18) = -0.000129
f(19) = 0.000079
f(20) = 0.000011
f(21) = -0.000194
f(22) = 0.000375
f(23) = 0.001238
f(24) = 0.002316
f(25) = 0.003680
f(26) = 0.007997
f(27) = 0.015987
f(28) = 0.032788
f(29) = 0.068311
f(30) = 0.152237
f(31) = 0.364981
